浙江电信[A],#genre#
宁波一套,http://115.193.40.4:9999/udp/233.50.201.168:5140
宁波二套,http://115.193.40.4:9999/udp/233.50.201.178:5140
宁波三套,http://115.193.40.4:9999/udp/233.50.201.179:5140
宁波四套,http://115.193.40.4:9999/udp/233.50.201.180:5140
浙江新闻,http://115.193.40.4:9999/udp/233.50.201.137:5140
浙江民生,http://115.193.40.4:9999/udp/233.50.201.136:5140
浙江少儿,http://115.193.40.4:9999/udp/233.50.201.138:5140
浙江教育,http://115.193.40.4:9999/udp/233.50.201.134:5140
杭州导视,http://115.193.40.4:9999/udp/233.50.201.182:5140
杭州综合,http://115.193.40.4:9999/udp/233.50.201.173:5140
杭州西湖明珠,http://115.193.40.4:9999/udp/233.50.201.174:5140
杭州生活,http://115.193.40.4:9999/udp/233.50.201.175:5140
杭州影视,http://115.193.40.4:9999/udp/233.50.201.176:5140
杭州青少体育,http://115.193.40.4:9999/udp/233.50.201.177:5140
温州新闻综合,http://115.193.40.4:9999/udp/233.50.201.87:5140
浙江钱江都市,http://115.193.40.4:9999/udp/233.50.201.132:5140
浙江经济生活,http://115.193.40.4:9999/udp/233.50.201.133:5140
绍兴新闻综合,http://115.193.40.4:9999/udp/233.50.201.156:5140

浙江电信[B],#genre#
宁波电视台,http://115.195.133.43:8888/udp/233.50.201.168:5140
宁波2套,http://115.195.133.43:8888/udp/233.50.201.178:5140
宁波3套,http://115.195.133.43:8888/udp/233.50.201.179:5140
宁波4套,http://115.195.133.43:8888/udp/233.50.201.180:5140
宁波5套,http://115.195.133.43:8888/udp/233.50.201.181:5140
浙江新闻,http://115.195.133.43:8888/udp/233.50.201.137:5140
浙江民生,http://115.195.133.43:8888/udp/233.50.201.136:5140
浙江少儿,http://115.195.133.43:8888/udp/233.50.201.138:5140
浙江教育,http://115.195.133.43:8888/udp/233.50.201.134:5140
杭州导视,http://115.195.133.43:8888/udp/233.50.201.182:5140
杭州综合,http://115.195.133.43:8888/udp/233.50.201.173:5140
杭州西湖明珠,http://115.195.133.43:8888/udp/233.50.201.174:5140
杭州生活,http://115.195.133.43:8888/udp/233.50.201.175:5140
杭州影视,http://115.195.133.43:8888/udp/233.50.201.176:5140
杭州青少体育,http://115.195.133.43:8888/udp/233.50.201.177:5140
温州新闻综合,http://115.195.133.43:8888/udp/233.50.201.87:5140
浙江钱江都市,http://115.195.133.43:8888/udp/233.50.201.132:5140
浙江经济生活,http://115.195.133.43:8888/udp/233.50.201.133:5140
绍兴新闻综合,http://115.195.133.43:8888/udp/233.50.201.156:5140
# 更新时间: 2025-12-29 19:01:04
